"","date_ym","ContractName","Sum_Swaps","Sum_Options"
"1","2017-01","S1",198301,NA
"2","2017-02","S1",-97699,NA
"3","2017-03","S1",-97699,NA
"4","2017-06","O1",8551.00000000004,165001
"5","2017-07","O1",-3348.99999999997,82501
"6","2017-01","S2",1481941,NA
"7","2017-02","S2",-1042809,NA
"8","2017-03","S2",NA,NA
"9","2017-04","S2",295601,NA
"10","2017-05","S2",1800421,NA
"11","2017-06","S2",3521211,NA
"12","2017-07","S2",7182811,NA
"13","2017-08","S2",4339551,NA
"14","2017-09","S2",1689201,NA
"15","2017-10","S2",301991,NA
"16","2017-11","S2",429271,NA
"17","2017-12","S2",-34969,NA
"18","2018-01","S2",12339911,NA
"19","2018-02","S2",515441,NA
"20","2018-03","S2",NA,NA
"21","2018-04","S2",1816501,NA
"22","2018-05","S2",10643771,NA
"23","2018-06","S2",6632561,NA
"24","2018-07","S2",43128531,NA
"25","2018-08","S2",7888671,NA
"26","2018-09","S2",4535741,NA
"27","2018-10","O2",-385439,NA
"28","2018-10","S2",6721421,NA
"29","2018-11","O2",-130149,NA
"30","2018-11","S2",7369121,NA
"31","2018-12","O2",-867839,NA
"32","2018-12","S2",6992311,NA
"33","2019-01","O2",-4519029,NA
"34","2019-02","O2",-6714749,NA
"35","2019-03","O2",NA,NA
"36","2019-04","O2",-5493129,NA
"37","2019-05","O2",-4989059,NA
"38","2019-06","O2",-3313669,NA
"39","2019-07","O2",-1182209,NA
"40","2019-08","O2",70773251,NA
"41","2019-09","O2",35343111,NA
